id,publication_number,country,doc_number,kind,title,publication_date,publication_year,family_id,applicant_names,applicant_countries,cpc_codes,ipc_codes,filing_date
78166705,GB2577432B,GB,2577432,B,Shadow mask sidewall tunnel junction for quantum computing,2020-09-16,2020,64562254,IBM; International Business Machines Corporation,{US},"{H10N60/0912,H10N60/12,H10N60/0912,H10N60/12,H10N60/0912,H10N60/0156,H10N60/12,H10N60/805,H10N60/85}",,
78172910,GB2581089A,GB,2581089,A,Job processing in quantum computing enabled cloud environments,2020-08-05,2020,65897233,IBM; International Business Machines Corporation,{US},"{G06F9/5072,G06F9/4843,G06F9/5077,G06N10/70,G06N10/80,G06F9/5044,G06F9/5055,G06N10/70,G06N10/80,G06F9/4881,G06N10/00,G06N10/70,G06N10/80}",,
79221052,GB201918083D0,GB,201918083,D0,Shadow mask sidewall tunnel junction for quantum computing,2020-01-22,2020,64562254,IBM; International Business Machines Corporation,,"{H10N60/0912,H10N60/12,H10N60/0912,H10N60/12,H10N60/0912,H10N60/0156,H10N60/12,H10N60/805,H10N60/85}",,
79224404,GB202001983D0,GB,202001983,D0,Control sequence for quantum computer,2020-04-01,2020,69956642,PHASECRAFT LTD; Phasecraft Limited,,"{G06N10/60,G06N10/20,G06N10/40,G06N10/80,G06N10/60,G06N10/20,G06N10/40,G06N10/60,G06N10/20,G06N10/40}",,
79228385,GB202006037D0,GB,202006037,D0,Job processing in quantum computing enabled cloud environments,2020-06-10,2020,65897233,IBM; International Business Machines Corporation,,"{G06F9/5072,G06F9/4843,G06F9/5077,G06N10/70,G06N10/80,G06F9/5044,G06F9/5055,G06N10/70,G06N10/80,G06F9/4881,G06N10/00,G06N10/70,G06N10/80}",,
79239567,GB202017412D0,GB,202017412,D0,Methods and apparatus for improving signal-to-noise performance in quantum computation,2020-12-16,2020,73776544,RIVER LANE RES LTD; River Lane Research Ltd,,"{G06N10/20,G06N10/60,G16C10/00,G16C20/50,G16C60/00,G06N10/00,G16C10/00}",,
80419512,IL275540A,IL,275540,A,Preparing correlated fermionic states on a quantum computer,2020-08-31,2020,65041927,HARVARD COLLEGE; PRESIDENT AND FELLOWS OF HARVARD COLLEGE,{US},"{G06N10/20,G06N10/60,G06N10/80,G06N10/20,G06N10/60,G06N10/80,G06N10/20,G06N10/60,G06N10/80}",,
10623348,CA3137214A1,CA,3137214,A1,QUBIT FREQUENCY TUNING STRUCTURES AND FABRICATION METHODS FOR FLIP CHIP QUANTUM COMPUTING DEVICES,2020-10-22,2020,70289808,IBM; INTERNATIONAL BUSINESS MACHINES CORPORATION,{US},"{H10N69/00,B82Y10/00,H10D48/3835,H10N60/01,H10N60/805,H10N69/00,B82Y10/00,G06N10/40,H10D48/383,H10N60/01,H10N60/805,G06N10/40,B82Y10/00,H10D48/383,H10N60/01,H10N60/805,H10N69/00,H10N69/00}",,
10623626,CA3137475A1,CA,3137475,A1,"QUANTUM INFORMATION PROCESSING METHOD, CLASSICAL COMPUTER, QUANTUM COMPUTER, HYBRID SYSTEM, QUANTUM INFORMATION PROCESSING PROGRAM, AND DATA STRUCTURE FOR FINDING A DIFFERENTIAL OF ENERGY",2020-11-19,2020,73223508,QUNASYS INC; QUNASYS INC.,{JP},"{G06N10/20,G06N10/60,G16C10/00,G16C20/30,G16C20/90,G16C10/00,G06F17/16,G06N10/20,G06N10/60}",,
50178753,CN210443042U,CN,210443042,U,Magnet moving frame for diamond quantum computing teaching machine,2020-05-01,2020,70409021,"CHINAINSTRU & QUANTUMTECH HEFEI CO LTD; CHINAINSTRU & QUANTUMTECH (HEFEI) CO., LTD.",,,,
50180440,CN210444729U,CN,210444729,U,Quantum computer efficient heat exchange cabinet,2020-05-01,2020,70410551,UNIV XUCHANG; XUCHANG UNIVERSITY,,,,
50859496,CN211123712U,CN,211123712,U,Special chip suitable for field of quantum computer monitoring,2020-07-28,2020,71703711,"JINAN INSPUR HI TECH INVEST & DEVELOPMENT CO LTD; JINAN INSPUR HI-TECH INVESTMENT AND DEVELOPMENT CO., LTD.",,,,
51851232,CN212115338U,CN,212115338,U,IPSEC cipher machine with anti-quantum computing function,2020-12-08,2020,73616343,"NANJING REBORN QUANTUM TECH CO LTD; NANJING REBORN QUANTUM TECHNOLOGY CO., LTD.; RUBAN QUANTUM TECHNOLOGY CO., LTD.",,,,
51851234,CN212115340U,CN,212115340,U,Anti-quantum computing encryption device and anti-quantum computing encryption communication system,2020-12-08,2020,73623353,"NANJING REBORN QUANTUM TECH CO LTD; NANJING REBORN QUANTUM TECHNOLOGY CO., LTD.; RUBAN QUANTUM TECHNOLOGY CO., LTD.",,,,
107303172,JP2020061447A,JP,2020061447,A,SUPERCONDUCTING COMPOUND QUANTUM COMPUTING CIRCUIT,2020-04-16,2020,70164243,JAPAN SCIENCE & TECH AGENCY; JAPAN SCIENCE & TECHNOLOGY AGENCY,,"{H10N69/00,G06N10/20,G06N10/40,H01L23/492,H10N60/805,H10N60/12,G06N10/20,G06N10/40,H10N60/805,H10N69/00,H10N69/00,G06N10/00,G06N10/20,G06N10/40,H10N60/12,H10N60/805}",,
10623885,CA3137703A1,CA,3137703,A1,METHODS AND SYSTEMS FOR QUANTUM COMPUTING ENABLED MOLECULAR AB INITIO SIMULATIONS,2020-11-19,2020,73289114,1QB INF TECH INC; 1QB INFORMATION TECHNOLOGIES INC.,{CA},"{G16B15/00,G06N10/20,G06N10/60,G06N10/80,G16C10/00,G16C10/00,G06N10/20,G06N10/60,G06N10/80,G16B15/00,G16C10/00,G06J1/00,G06N10/20,G06N10/60,G06N10/80}",,
107303279,JP2020061554A,JP,2020061554,A,SUPERCONDUCTING COMPOUND QUANTUM COMPUTING CIRCUIT,2020-04-16,2020,70219105,JAPAN SCIENCE & TECH AGENCY; JAPAN SCIENCE & TECHNOLOGY AGENCY,,,,
107321898,JP2020080173A,JP,2020080173,A,FIDELITY ESTIMATION FOR QUANTUM COMPUTING SYSTEMS,2020-05-28,2020,70802481,GOOGLE LLC; GOOGLE LLC,,,,
107426484,JP2020184759A,JP,2020184759,A,BASE STATION ANTENNA OPTIMIZATION SYSTEM USING ANNEALING MACHINE SUCH AS QUANTUM COMPUTER,2020-11-12,2020,73045270,KYOCERA COMMUNICATION SYSTEMS CO LTD; KYOCERA COMMUNICATION SYSTEMS CO LTD,,,,
107443291,JP2020201566A,JP,2020201566,A,"QUANTUM INFORMATION PROCESSING METHOD FOR OPEN QUANTUM SYSTEM, CLASSIC COMPUTER, QUANTUM COMPUTER, QUANTUM INFORMATION PROCESSING PROGRAM, AND DATA STRUCTURE",2020-12-17,2020,73744010,QUNASYS INC; QUNASYS INC,,,,
115688463,KR20200007736A,KR,20200007736,A,QUANTUM COMPUTER,2020-01-22,2020,69368258,"THE4TH CO LTD; THE4TH CO., LTD.",{KR},"{G06N10/20,B82Y10/00,G06N10/40}",,
119029303,PL429951A1,PL,429951,A1,Semiconductor electrostatic qubits and devices based on them and an interface between a superconducting and semiconductor quantum computer,2020-11-30,2020,73551731,POMORSKI KRZYSZTOF; POMORSKI KRZYSZTOF,{PL},,,
124320042,TWM596498U,TW,M596498,U,System that promotes and strengthens key exchange procedure to confront quantum computing system,2020-06-01,2020,72177386,AHP TECH INC; AHP-TECH INC.,{TW},,,
135808649,US10536224B1,US,10536224,B1,Visualizing arbitrary pulse shapes and schedules in quantum computing applications,2020-01-14,2020,69141226,IBM; International Business Machines Corporation,{US},"{H04B10/70,H04B10/70,G06F16/9038}",,
135914169,US10643143B2,US,10643143,B2,Performing a calibration process in a quantum computing system,2020-05-05,2020,63445546,"RIGETTI & CO INC; Rigetti & Co, Inc.",{US},"{G06N10/70,G06N10/20,G06N10/40,H03K19/195,G06N10/70,G06N10/00,G06N10/40,H03K19/195}",,
135921267,US10650324B1,US,10650324,B1,Operating a quantum processor in a heterogeneous computing architecture,2020-05-12,2020,64050823,"RIGETTI & CO INC; Rigetti & Co, Inc.",{US},"{G06N10/40,G06F9/3877,G06N10/60,G06N10/40,G06F9/30043,G06F9/3877,G06F15/16,G06N10/60}",,
135928291,US10657456B1,US,10657456,B1,Quantum computing using chiral qubits,2020-05-19,2020,70736330,"UNIV NEW YORK STATE RES FOUND; THE RESEARCH FOUNDATION FOR THE STATE UNIVERSITY OF NEW YORK; BROOKHAVEN SCIENCE ASSOCIATES, LLC","{US,US}","{G06N10/40,G06N10/40,H01F38/14}",,
135935509,US10664761B2,US,10664761,B2,Generating quantum computing circuits by distributing approximation errors in a quantum algorithm,2020-05-26,2020,68614702,"MICROSOFT TECHNOLOGY LICENSING LLC; Microsoft Technology Licensing, LLC",{US},"{G06F30/30,G06F30/327,G06F30/337,G06F2111/06,G06F2119/06,G06N5/01,G06N10/20,G06N10/60,G06N10/70,G06N10/80,G06N10/20,G06F30/30,G06N10/60,G06N10/70,G06N10/80}",,
135846159,US10574215B2,US,10574215,B2,"Random number generator, random number generation device, neuromorphic computer, and quantum computer",2020-02-25,2020,63355923,TDK CORP; TDK CORPORATION,{JP},"{H03K3/84,G06F7/588,G06N3/065,H01F10/3254,H01F10/3286,H01F10/329,H04L9/0852,H10N50/10,H10N59/00,H03K3/84,G06F7/588,G06N3/065,H01F10/3254,H01F10/3286,H01F10/329,H04L9/0852,H10B61/00,H10N50/10,H10N52/80,H10N59/00}",,
135942225,US10671559B2,US,10671559,B2,Chips including classical and quantum computing processors,2020-06-02,2020,54145424,GOOGLE LLC; Google LLC,{US},"{G06F13/4068,G06N10/20,G06N10/40,G06N10/60,H03K19/195,H10N69/00,Y02D10/00,G06F13/4068,G06F15/80,G06N10/20,G06N10/40,G06N10/60,H01P5/08,H03K19/195,H10N60/12,H10N60/805,H10N69/00,Y02D10/00}",,
135942596,US10671937B2,US,10671937,B2,Systems and methods for quantum computation,2020-06-02,2020,60578145,YARKONI SHEIR; Yarkoni Sheir; D-WAVE SYSTEMS INC.,"{CA,CA}","{G06N10/60,B82Y10/00,G06N3/044,G06N3/047,G06N10/60,B82Y10/00,G06N3/044,G06N3/047,G06N7/08}",,
143626898,US2020005178A1,US,2020005178,A1,EFFICIENT COOLING OF ION CHAINS FOR QUANTUM COMPUTATION,2020-01-02,2020,67211982,"IONQ INC; IonQ, Inc.",{US},"{G06F1/20,G06F1/20}",,
143628552,US2020006832A1,US,2020006832,A1,THERMALIZATION OF MICROWAVE ATTENUATORS FOR QUANTUM COMPUTING SIGNAL LINES,2020-01-02,2020,67396903,IBM; International Business Machines Corporation,{US},"{H01L23/06,H01L2224/49111,H01P1/225,H01P1/225,H01P5/026,H01P11/00,H03H7/24,H03H11/24}",,
143634681,US2020012961A1,US,2020012961,A1,INTEGRATING CIRCUIT ELEMENTS IN A STACKED QUANTUM COMPUTING DEVICE,2020-01-09,2020,60935992,GOOGLE LLC; Google LLC,{US},"{G06N10/40,H01L23/5225,H01L24/13,H01L24/16,H01L25/0657,H01L2224/13109,H01L2224/13116,H01L2224/13164,H01L2224/13179,H01L2224/13183,H01L2224/13644,H01L2224/16145,H01L2225/06513,H01L25/0657,G06N10/40,H01L23/5225,H01L23/552,H01L24/13,H01L24/16,H01L2224/13109,H01L2224/13116,H01L2224/13164,H01L2224/13179,H01L2224/13183,H01L2224/13644,H01L2224/16145,H01L2225/06513,G06N10/40,G06N10/00,H01L25/0657,H10N60/20}",,
143648270,US2020026551A1,US,2020026551,A1,QUANTUM HYBRID COMPUTATION,2020-01-23,2020,69161777,"IONQ INC; IonQ, Inc.",{US},"{G06N10/60,G06N10/80,G06N10/60,G06F9/4843,G06F9/5044,G06F11/3003,G06F15/80,G06N10/00,G06N10/80}",,
143658168,US2020036450A1,US,2020036450,A1,SYSTEMS AND METHODS FOR A QUANTUM-ANALOGUE COMPUTER,2020-01-30,2020,63713543,UNIV ARIZONA; Arizona Board of Regents on Behalf of the University of Arizona,{US},"{G10K15/04,B06B1/0611,B06B1/0688,B82Y10/00,G01H11/08,H10D48/3835,H10D48/50,H10D62/121,H10N99/05,H04B10/70,B06B1/0688,G01H11/08,G02B6/1225,H10D62/121,H10H20/812,H10N99/05}",,
143664611,US2020042894A1,US,2020042894,A1,METHOD FOR QUANTUM ANNEALING COMPUTATION,2020-02-06,2020,63792883,AIST; National Institute of Advanced Industrial Science and Technology,{JP},"{G06N10/60,G06N10/40,H10N60/10,G06N10/60,G06N10/40}",,
143672675,US2020050958A1,US,2020050958,A1,Performing a Calibration Process in a Quantum Computing System,2020-02-13,2020,63445546,"RIGETTI & CO INC; Rigetti & Co, Inc.",{US},"{G06N10/70,G06N10/20,G06N10/40,H03K19/195,G06N10/70,G06N10/00,G06N10/40,H03K19/195}",,
143672676,US2020050959A1,US,2020050959,A1,"UNIVERSAL QUANTUM COMPUTER, COMMUNICATION, QKD SECURITY AND QUANTUM NETWORKS USING OAM QU-DITS WITH DLP",2020-02-13,2020,69406167,"NXGEN PARTNERS IP LLC; NxGen Partners IP, LLC",{US},"{H04L9/0852,G06N3/065,H04L9/0858,H04L9/0852,G06E3/005,H04L9/085}",,
143674766,US2020053049A1,US,2020053049,A1,DETERMINING SECURITY FEATURES FOR EXTERNAL QUANTUM-LEVEL COMPUTING PROCESSING,2020-02-13,2020,63167870,BANK OF AMERICA; BANK OF AMERICA CORPORATION,{US},"{G06F21/6263,H04L63/0209,H04L63/0209,G06F21/6263,H04L63/10}",,
143679674,US2020057957A1,US,2020057957,A1,Quantum Computer with Improved Quantum Optimization by Exploiting Marginal Data,2020-02-20,2020,69523171,"ZAPATA COMPUTING INC; Zapata Computing, Inc.",{US},"{G06N10/60,G06N3/044,G06N3/047,G06N5/01,G06N10/60,G02F1/01791,G06F17/14,G06N10/20,G06N10/40,G06N10/70}",,
143680419,US2020058702A1,US,2020058702,A1,INTEGRATING CIRCUIT ELEMENTS IN A STACKED QUANTUM COMPUTING DEVICE,2020-02-20,2020,60888686,GOOGLE LLC; Google LLC,{US},"{B82Y10/00,G06N10/40,H01L25/18,H10D48/3835,H10N69/00,G06N10/40,H01L25/0657,H01L2225/06513,H10N69/00}",,
143704011,US2020082295A1,US,2020082295,A1,"Quantum Random, Self-Modifiable Computer",2020-03-12,2020,68843032,FISKE MICHAEL STEPHEN; Fiske Michael Stephen,{US},"{G06N20/00,G06N20/00,G06F9/3004,G06N10/00}",,
143687155,US2020065439A1,US,2020065439,A1,SIMULATING MATERIALS USING QUANTUM COMPUTATION,2020-02-27,2020,57389580,GOOGLE LLC; Google LLC,{US},"{G06F30/20,G06N5/01,G06N10/60,G16C10/00,G16C60/00,G06F30/20,G06F9/448,G06F2111/10,G06N10/60,G16C10/00}",,
143796543,US2020174836A1,US,2020174836,A1,CO-SCHEDULING QUANTUM COMPUTING JOBS,2020-06-04,2020,68583378,IBM; International Business Machines Corporation,{US},"{G06F9/4881,G06F9/5038,G06F9/5044,G06N10/80,G06F9/4881,G06F9/4887,G06N10/80}",,
143688677,US2020066961A1,US,2020066961,A1,WIREBOND CROSS-TALK REDUCTION FOR QUANTUM COMPUTING CHIPS,2020-02-27,2020,67659889,IBM; International Business Machines Corporation,{US},"{H01L24/85,B82Y10/00,H01L23/552,H01L24/49,H01L2223/6611,H01L2223/6627,H01L2224/49113,H10N60/80,H10N69/00,H01L24/85,H10N60/0912,H10N60/12,H10N60/805,H10N69/00}",,
143696062,US2020074346A1,US,2020074346,A1,OPTIMIZATION RECOMMENDATION SERVICES FOR QUANTUM COMPUTING,2020-03-05,2020,69641294,"RED HAT INC; Red Hat, Inc.",{US},"{G06N10/80,G06N3/044,G06N3/045,G06N10/70,G06N20/10,G06N10/80,G06N10/70,G06N20/00}",,
143719563,US2020097848A1,US,2020097848,A1,STOCHASTIC CONTROL WITH A QUANTUM COMPUTER,2020-03-26,2020,67956762,IBM; International Business Machines Corporation,{US},"{G06N10/20,G06N5/01,G06N7/01,G06N10/20,G06F9/3877,G06F9/5027,G06F15/16,G06F17/11,G06N7/08}",,
143703437,US2020081721A1,US,2020081721,A1,BOOTSTRAPPING A VARIATIONAL ALGORITHM FOR QUANTUM COMPUTING,2020-03-12,2020,69719142,IBM; International Business Machines Corporation,{US},"{G06F9/44505,G06N10/60,G06F9/4401,G06N10/60}",,
143922942,US2020301244A1,US,2020301244,A1,CLOCK GENERATION FOR A PHOTONIC QUANTUM COMPUTER,2020-09-24,2020,67543800,"PSIQUANTUM CORP; Psiquantum, Corp.",{US},"{G02F1/3526,G01J1/0488,G01J1/44,G01J2001/4238,G01J2001/4413,G02F1/3536,G02F1/395,G06F1/06,G06F1/105,G06N10/00,G06N10/20,G06N10/40,H03K3/38,G02F1/3526,G01J2001/442,G02F1/3536,G02F1/395,G06F1/06,G06F1/105,G06N10/20,G06N10/40,H03K3/42,G02F1/3526,G01J1/0488,G01J1/44,G01J2001/4238,G01J2001/4413,G06F1/06,G06N10/00,G06N10/20,G06N10/40,H03K3/38,H03K3/42}",,
143923260,US2020301562A1,US,2020301562,A1,Visualization Tool for Interacting with a Quantum Computing Program,2020-09-24,2020,69743933,"MICROSOFT TECHNOLOGY LICENSING LLC; Microsoft Technology Licensing, LLC",{US},"{G06N10/80,G06F3/011,G06F3/04815,G06F3/0484,G06N10/80,G06F3/013,G06F3/017,G06F3/04815,G06F3/167,G06F9/455,G06T11/206,G06T15/005,G06T2200/24}",,
143924004,US2020302306A1,US,2020302306,A1,AUTOMATIC GENERATION OF ISING HAMILTONIANS FOR SOLVING OPTIMIZATION PROBLEMS IN QUANTUM COMPUTING,2020-09-24,2020,72514552,IBM; International Business Machines Corporation,{US},"{G06N5/01,G06N10/60,G06N5/01,G06N10/60}",,
143932605,US2020310908A1,US,2020310908,A1,APPARATUS AND METHOD FOR PROBABILISTIC ERROR CORRECTION OF A QUANTUM COMPUTING SYSTEM,2020-10-01,2020,69742819,INTEL CORP; Intel Corporation,{US},"{G06N10/70,G06N10/60,G06N10/70,G06N3/04,G06N3/088,G06N10/60,G06N10/70,G06F11/10,G06N10/60}",,
143932917,US2020311220A1,US,2020311220,A1,ADAPTIVE ERROR CORRECTION IN QUANTUM COMPUTING,2020-10-01,2020,69846113,IBM; International Business Machines Corporation,{US},"{G06N10/70,G06F30/30,G06F2117/02,G06N10/20,G06N10/60,G06N10/80,G06F30/30,G06F2111/20,G06F2117/02,G06N10/20,G06N10/60,G06N10/70,G06N10/80,G06N10/70,B82Y10/00,G06F30/32,G06F2117/02,G06N10/20,G06N10/40,G06N10/60,G06N10/80,G06N10/70,G06F30/30,G06F2111/20,G06N10/20,G06N10/60,G06N10/80}",,
143933286,US2020311589A1,US,2020311589,A1,CALCULATING EXCITED STATE PROPERTIES OF A MOLECULAR SYSTEM USING A HYBRID CLASSICAL-QUANTUM COMPUTING SYSTEM,2020-10-01,2020,67874456,IBM; International Business Machines Corporation,{US},"{G16C10/00,G06N5/01,G06N10/20,G06N10/60,G06N10/80,G16C20/30,G16C20/90,G06N10/60,G06F15/16,G06F17/14,G06F17/16,G06N10/20,G06N10/80}",,
143933290,US2020311593A1,US,2020311593,A1,SURFACE CODE COMPUTATIONS USING AUTO-CCZ QUANTUM STATES,2020-10-01,2020,70286038,GOOGLE LLC; Google LLC,{US},"{G06F9/30007,G06F7/4824,G06F7/505,G06F7/5057,G06F7/72,G06F9/30076,G06F17/10,G06N10/20,G06N10/40,G06N10/60,G11C11/4063,G06N10/40,G06N10/20,G06N10/60,G06N10/70,G06N10/20,G06F7/4824,G06F7/505,G06F7/5057,G06F7/72,G06F17/10,G06N10/00,G06N10/70,G11C11/4063,H04B10/70}",,
143942116,US2020320420A1,US,2020320420,A1,TUNABLE SUPERCONDUCTING RESONATOR FOR QUANTUM COMPUTING DEVICES,2020-10-08,2020,69903163,IBM; International Business Machines Corporation,{US},"{H01P7/088,G06N10/40,H01P11/008,H10N69/00,G06N10/00,H01P7/065,H01P7/088,H01P11/008,H03K17/92,G06N10/40,B82Y10/00,H01P7/065,H01P7/088,H01P11/008,H03K17/92,H10N69/00,G06N10/40,H01P7/065,H03K17/92,H10N69/00}",,
143942120,US2020320424A1,US,2020320424,A1,SYSTEMS AND METHODS FOR QUANTUM COMPUTATION,2020-10-08,2020,60578145,D WAVE SYSTEMS INC; D-WAVE SYSTEMS INC.,{CA},"{G06N10/60,B82Y10/00,G06N3/044,G06N3/047,G06N10/60,B82Y10/00,G06N3/044,G06N3/047,G06N7/08}",,
143943204,US2020321508A1,US,2020321508,A1,GATE VOLTAGE-TUNABLE ELECTRON SYSTEM INTEGRATED WITH SUPERCONDUCTING RESONATOR FOR QUANTUM COMPUTING DEVICE,2020-10-08,2020,69846476,IBM; International Business Machines Corporation,{US},"{B82Y10/00,G06N10/40,H10D48/3835,H10N60/0912,H10N60/128,H10N69/00,H10N60/12,B82Y10/00,H10D62/8164,H10D62/822,H10D62/824,H10D62/882,H10D64/608,H10N60/0912,H10N60/128,H10N60/805,H10N69/00,H10N60/12,B82Y10/00,H10N60/0912,H10N69/00,H10N60/12,H10D62/8164,H10D62/822,H10D62/824,H10D62/882,H10D64/608,H10N60/0912,H10N60/128,H10N60/805}",,
143943205,US2020321509A1,US,2020321509,A1,SHADOW MASK SIDEWALL TUNNEL JUNCTION FOR QUANTUM COMPUTING,2020-10-08,2020,64562254,IBM; International Business Machines Corporation,{US},"{H10N60/0912,H10N60/12,H10N60/0912,H10N60/12,H10N60/0912,H10N60/0156,H10N60/12,H10N60/805,H10N60/85}",,
143949134,US2020327438A1,US,2020327438,A1,ADIABATIC PROGRESSION WITH INTERMEDIATE RE-OPTIMIZATION TO SOLVE HARD VARIATIONAL QUANTUM PROBLEMS IN QUANTUM COMPUTING,2020-10-15,2020,72748120,IBM; International Business Machines Corporation,{US},"{G06N10/20,G06N5/01,G06N10/60,G06N10/80,G06N10/20,B82Y10/00,G06N5/01,G06N5/02,G06N10/60,G06N10/80,G06N10/20,B82Y10/00,G06N5/01,G06N5/02,G06N10/60,G06N10/80,G06N10/20,B82Y10/00,G06N5/02,G06N10/60,G06N10/80}",,
143949135,US2020327439A1,US,2020327439,A1,ADIABATIC PROGRESSION WITH INTERMEDIATE RE-OPTIMIZATION TO SOLVE HARD VARIATIONAL QUANTUM PROBLEMS IN QUANTUM COMPUTING,2020-10-15,2020,72748120,IBM; International Business Machines Corporation,{US},"{G06N10/20,G06N5/01,G06N10/60,G06N10/80,G06N10/20,B82Y10/00,G06N5/01,G06N5/02,G06N10/60,G06N10/80,G06N10/20,B82Y10/00,G06N5/01,G06N5/02,G06N10/60,G06N10/80,G06N10/20,B82Y10/00,G06N5/02,G06N10/60,G06N10/80}",,
143949137,US2020327441A1,US,2020327441,A1,Hybrid Quantum-Classical Computer System and Method for Optimization,2020-10-15,2020,72748115,"ZAPATA COMPUTING INC; Zapata Computing, Inc.",{US},"{G06N10/60,G06N10/20,G06N10/60,G06N10/20}",,
143957380,US2020335685A1,US,2020335685,A1,QUBIT FREQUENCY TUNING STRUCTURES AND FABRICATION METHODS FOR FLIP CHIP QUANTUM COMPUTING DEVICES,2020-10-22,2020,72829508,IBM; International Business Machines Corporation,{US},"{H10N60/805,H10N60/01,H10N69/00,H10N60/805,H10N60/0156,H10N60/0241,H10N60/12}",,
143957381,US2020335686A1,US,2020335686,A1,QUBIT FREQUENCY TUNING STRUCTURES AND FABRICATION METHODS FOR FLIP CHIP QUANTUM COMPUTING DEVICES,2020-10-22,2020,72831274,IBM; International Business Machines Corporation,{US},"{H10N60/0912,H01L23/52,H10N60/01,H10N60/805,H10N69/00,H10N60/0912,H01L21/30604,H01L21/3065}",,
143963988,US2020342293A1,US,2020342293,A1,QUANTUM COMPUTATIONAL METHOD AND DEVICE,2020-10-29,2020,72917257,IBM; INTERNATIONAL BUSINESS MACHINES CORPORATION,{US},"{G06N10/60,G06N3/063,G06N10/60,G06N3/063}",,
143964025,US2020342330A1,US,2020342330,A1,MIXED-BINARY CONSTRAINED OPTIMIZATION ON QUANTUM COMPUTERS,2020-10-29,2020,72917102,IBM; International Business Machines Corporation,{US},"{G06F7/523,G06N10/60,G06N20/00,G06N5/01,G06F7/523,G06N5/045,G06N10/60}",,
143964653,US2020342959A1,US,2020342959,A1,SYSTEM AND METHOD FOR MOLECULAR DESIGN ON A QUANTUM COMPUTER,2020-10-29,2020,70289783,IBM; INTERNATIONAL BUSINESS MACHINES CORPORATION,{US},"{G16C10/00,G06N10/60,G16C20/50,G16C20/50,G06N10/60,G16C10/00,G16C10/00,G06N10/60,G16C20/50}",,
143971153,US2020349459A1,US,2020349459,A1,Quantum-Classical System and Method for Matrix Computations,2020-11-05,2020,73016557,"ZAPATA COMPUTING INC; Zapata Computing, Inc.",{US},"{G06N10/60,G06N5/01,G06N10/60,G06F17/11,G06F17/16}",,
143971552,US2020349858A1,US,2020349858,A1,Method and system of teaching quantum linear theology and method of measuring national and presidential spirit energy using computer and application based timelines,2020-11-05,2020,73016572,"JACKSON JR JESSE; Jackson, JR. Jesse",{US},"{G09B19/00,G09B19/00,G06F17/11}",,
143972781,US2020351087A1,US,2020351087,A1,SECURE MEMORY TAMPER DETECTION IN A QUANTUM KEY COMPUTER,2020-11-05,2020,70847524,"QUANTUMXCHANGE INC; QUANTUMXCHANGE, INC.",{US},"{H04L9/0827,H04L9/0855,H04L9/0897,H04L9/0858,G06F1/28,G06F21/72,G06F21/86,H04L9/0819,H04L9/0891,H04L9/3226}",,
143978580,US2020356887A1,US,2020356887,A1,Majorana Pair based Qubits for Fault Tolerant Quantum Computing Architecture using Superconducting Gold Surface States,2020-11-12,2020,73046778,MOODERA JAGADEESH S; Moodera Jagadeesh S.; LEE Patrick A.; Wei Peng; Manna Sujit,"{US,US,US,US}","{H10D62/121,B82Y10/00,H10D48/3835,H10N60/01,H10N60/10,H10N60/128,H10N60/83,H10N69/00,H10N60/83,B82Y10/00,H10D62/121,H10N60/85,H10N69/00}",,
143978582,US2020356890A1,US,2020356890,A1,"QUANTUM MECHANICAL FRAMEWORK FOR INTERACTION OF OAM WITH MATTER AND APPLICATIONS IN SOLID STATES, BIOSCIENCES AND QUANTUM COMPUTING",2020-11-12,2020,70159024,"NXGEN PARTNERS IP LLC; NxGen Partners IP, LLC",{US},"{G02F3/00,G06N3/08,G06N3/126,H04L9/0852,G02F3/00,G02B26/0833,G06F17/10,H10N99/05}",,
143986292,US2020364600A1,US,2020364600,A1,QUANTUM COMPUTING ASSEMBLIES,2020-11-19,2020,67064056,INTEL CORP; Intel Corporation,{US},"{H01L25/16,B82Y10/00,G06N10/40,H01L21/4857,H01L21/486,H01L23/13,H01L23/5383,H01L23/5384,H01L23/5385,H01L25/0652,H01L25/18,H01L2224/1403,H01L2224/16145,H01L2224/16225,H10D30/014,H10D48/3835,G06N10/40,B82Y10/00,H01L21/4857,H10N60/0744,H10N60/805,H10N69/00}",,
143986293,US2020364601A1,US,2020364601,A1,METHODS AND SYSTEMS FOR QUANTUM COMPUTING ENABLED MOLECULAR AB INITIO SIMULATIONS USING QUANTUM-CLASSICAL COMPUTING HARDWARE,2020-11-19,2020,66663731,1QB INF TECH INC; 1QB Information Technologies Inc.,{CA},"{G16C10/00,G06N5/01,G06N10/20,G16C20/30,G16C20/90,G06N10/20,G16C10/00,G16C20/20,G16C20/30}",,
143991209,US2020369517A1,US,2020369517,A1,"AMPLITUDE, FREQUENCY, AND PHASE MODULATED ENTANGLING GATES FOR TRAPPED-ION QUANTUM COMPUTERS",2020-11-26,2020,73456855,"IONQ INC; IONQ, INC.",{US},"{G06N10/40,G06N10/20,G06N10/70,G06N10/40,B82Y10/00,B82Y20/00,G06N10/20,G06N10/70,G06N10/40,B82Y10/00,G06N10/20,G06N10/70,G21K1/003,H01J49/0072,H01S3/09,H04B10/70}",,
